Name,Totalnumberoffunds,FundSize_Preqin,Sum_wirr_preqin,HasESGonWebsite,E_document,E_Portfoliocasestudies,E_Media,S_document,S_Portfoliocasestudies,S_Media,G_navigationalpage,G_document,G_Portfoliocasestudies,Other_ESGfund,Other_ESGmicrosite,Other_ESGdocument,Other_Portfoliocasestudies,Other_ESGMedia,Other_ESGsectionvisible,Other_ESGpolicy,Other_ESGreport,Other_ChiefESGofficer,Other_ESGcommittee,Other_SignatoryESGConvergence,Other_ESGAwards,E_HasDocumentsorPages,S_HasDEI,S_10PctWomenBoardExec,S_HasDocumentsorPages,G_HasDocumentsorPages,Other_HasESGHeadorCommittee,Other_ALLFramework,E_HasDocsOrMedia,E_HasDocsOrMedia_2,S_HasDocsOrMedia,S_HasDocsOrMedia_2,Staff,Average_Fund_Size
Searchlight Capital Partners,3,6203,1.3232307434082031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2067.6666666666665
Vista Equity Partners,32,52167.80078125,11.234091758728027,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,856,1630.2437744140625
K1 Investment Management,7,7460,4.2110185623168945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,1065.7142857142858
ACON Investments,8,3514.800048828125,7.3952202796936035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,439.3500061035156
Thomas H Lee Partners,7,8283.099609375,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,180,1183.2999441964287
One Equity Partners,6,7471.89990234375,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,97,1245.316650390625
Veritas Capital,5,14204,2.305032253265381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,2840.8
Roark Capital Group,9,13314.900390625,13.425185203552246,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,227,1479.433376736111
KPS Capital Partners,3,10897.5,7.241945266723633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,3632.5
Lindsay Goldberg,3,11629.2001953125,14.36366367340088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,3876.4000651041665
