Name,No. of Employees
Searchlight Capital Partners,143
Vista Equity Partners,856
K1 Investment Management,165
ACON Investments,78
Thomas H Lee Partners,180
One Equity Partners,97
Veritas Capital,143
Roark Capital Group,227
KPS Capital Partners,122
Lindsay Goldberg,90
GI Partners,207
Thoma Bravo,291
Berkshire Partners,259
Silver Lake,1127
Kelso & Company,72
Genstar Capital Partners,90
Altaris,36
Madison Dearborn Partners,153
Siguler Guff,148
Arsenal Capital Partners,139
Coatue Management,208
Carlyle Group,2578
Bregal Sagemount,89
H.I.G. Capital,1254
Advent International,1087
Gryphon Investors,203
Ridgemont Equity Partners,65
Sycamore Partners,86
Great Hill Partners,114
Clearlake Capital Group,123
Bain Capital,1767
HarbourVest Partners,1244
Warburg Pincus,1233
Audax Group,393
TowerBrook,166
Kohlberg & Company,116
Siris Capital,66
Leonard Green & Partners,112
The Vistria Group,122
Charlesbank Capital Partners,189
Blackstone Group,7029
Energy & Minerals Group,22
GTCR,217
Platinum Equity,575
Marlin Equity Partners,152
Harvest Partners,108
EnCap Investments,50
TPG,2521
Accel-KKR,223
NGP Energy Capital Management,73
Peak Rock Capital,66
Linden,82
The Riverside Company,475
Oak Hill Capital Partners,57
Apollo Global Management,3942
Quantum Energy Partners,147
New Mountain Capital,297
Levine Leichtman Capital Partners,107
Francisco Partners,232
Hellman & Friedman,206
KKR,7190
Stone Point Capital,190
Alpine Investors,410
Nautic Partners,98
"Welsh, Carson, Anderson & Stowe",146
L Catterton,384
Providence Equity Partners,199
Adams Street Partners,361
Trilantic North America,61
Arcline Investment Management,61
American Securities,237
AEA Investors,232
Clayton Dubilier & Rice,299
The Jordan Company,90
Blue Owl Capital,724
Spectrum Equity,94
TA Associates,776
Summit Partners,506
FTV Capital,123
RedBird Capital Partners,73
Insight Partners,640
Arctos Sports Partners,69
TSG Consumer Partners,117
PSG,1203
Tiger Global Management,251
General Atlantic,706
TCV,453
Sapphire Ventures,168
Accel,1093
Andreessen Horowitz,659
Lightspeed Venture Partners,300
Thrive Capital,84
GGV Capital,282
New Enterprise Associates,179
General Catalyst Partners,237
Index Ventures,112
Sequoia Capital,824
Battery Ventures,209
Flagship Pioneering,615
Norwest Venture Partners,196
